siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
SJER,SJER_054,NEON.PLA.D17.SJER.00001,2015,1061.822822039296,477.19822215372,0.0,,-597.009192180843,,-269.033356135109,,0.0,30.1,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,57,5.3,167.0
SJER,SJER_054,NEON.PLA.D17.SJER.00001,2016,464.813629858453,208.164866018611,0.0,-597.009192180843,-597.009192180843,-269.033356135109,-269.033356135109,0.0,0.0,28.5,8.3,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,57,5.3,167.0
SJER,SJER_054,NEON.PLA.D17.SJER.00004,2015,412.25799904796,556.044658981556,0.0,,203.95601869560295,,-278.022329490778,,0.0,66.5,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,57,9.8,100.6
SJER,SJER_054,NEON.PLA.D17.SJER.00004,2016,616.214017743563,278.022329490778,0.0,203.95601869560295,203.95601869560295,-278.022329490778,-278.022329490778,0.0,0.0,32.0,6.4,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,57,9.8,100.6
SJER,SJER_054,NEON.PLA.D17.SJER.00004A,2015,535.21514825495,240.584335512539,0.0,,0.0,,0.0,,0.0,30.2,,,False,FILLED,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,,,
SJER,SJER_054,NEON.PLA.D17.SJER.00004A,2016,535.21514825495,240.584335512539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,,,
SJER,SJER_054,NEON.PLA.D17.SJER.00005,2015,1232.428035487126,556.044658981556,0.0,,-944.793694057176,,-428.844089103563,,0.0,32.0,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,57,10.9,106.9
SJER,SJER_054,NEON.PLA.D17.SJER.00005,2016,287.63434142995,127.200569877993,0.0,-944.793694057176,-944.793694057176,-428.844089103563,-428.844089103563,0.0,0.0,23.4,5.9,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,57,10.9,106.9
SJER,SJER_054,NEON.PLA.D17.SJER.00005A,2015,182.2478725238,79.6343214291171,0.0,,0.0,,0.0,,0.0,19.4,,,False,FILLED,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,,,
SJER,SJER_054,NEON.PLA.D17.SJER.00005A,2016,182.2478725238,79.6343214291171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,,,
SJER,SJER_055,NEON.PLA.D17.SJER.00014,2015,1232.428035487126,556.044658981556,0.0,,-602.0569618124889,,-31.33813256738506,,0.0,32.0,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,39,3.3,101.8
SJER,SJER_055,NEON.PLA.D17.SJER.00014,2016,630.371073674637,524.706526414171,0.0,-602.0569618124889,-602.0569618124889,-31.33813256738506,-31.33813256738506,0.0,0.0,32.3,9.9,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,39,3.3,101.8
SJER,SJER_055,NEON.PLA.D17.SJER.00017,2015,2765.2627600508,2306.79762100114,0.0,,-1528.7336569975298,,-1738.592605981983,,0.0,44.6,,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,21,4.0,45.3
SJER,SJER_055,NEON.PLA.D17.SJER.00017,2016,1236.52910305327,568.205015019157,0.0,-1528.7336569975298,-1528.7336569975298,-1738.592605981983,-1738.592605981983,0.0,0.0,42.6,6.5,Live,False,ORIGINAL,Quercus douglasii Hook. & Arn.,QUDO,Quercus,Fagaceae,species,21,4.0,45.3
SJER,SJER_064,NEON.PLA.D17.SJER.00029,2015,1965.564031446344,0.0,0.0,,-1670.117510357657,,0.0,,0.0,48.0,,Live,False,ORIGINAL,Pinus sabiniana Douglas ex Douglas,PISA2,Pinus,Pinaceae,species,23,8.2,281.6
SJER,SJER_064,NEON.PLA.D17.SJER.00029,2016,295.446521088687,0.0,0.0,-1670.117510357657,-1670.117510357657,0.0,0.0,0.0,0.0,29.3,13.0,Live,False,ORIGINAL,Pinus sabiniana Douglas ex Douglas,PISA2,Pinus,Pinaceae,species,23,8.2,281.6
